Date,Log
08.05.2020,"65926,Q,0,1,10.08399"
08.05.2020,"65926,Q,1,1,10.08399"
08.05.2020,"65926,Q,2,1,10.08399"
08.05.2020,"65926,Q,3,3,16.52765"
08.05.2020,"65926,Q,4,3,7.097871"
08.05.2020,"65926,Q,5,3,6.080856"
08.05.2020,"65926,Q,6,2,4.79884"
08.05.2020,"65926,Q,7,1,6.797234"
08.05.2020,"65926,Q,8,3,5.015345"
08.05.2020,"65926,Q,9,3,5.830877"
08.05.2020,"65926,Q,10,3,9.597167"
08.05.2020,"65926,Q,11,3,5.548158"
08.05.2020,"65926,GameA,0,2,2.54921"
08.05.2020,"65926,GameA,1,1,1.69949"
08.05.2020,"65926,GameA,2,3,1.48271"
08.05.2020,"65926,GameA,3,1,1.349545"
08.05.2020,"65926,GameA,4,3,1.216125"
08.05.2020,"65926,GameA,5,0,1.21646"
08.05.2020,"65926,GameA,6,0,2.399414"
08.05.2020,"65926,GameA,7,2,1.399605"
08.05.2020,"65926,GameA,8,2,0.8328398"
08.05.2020,"65926,GameA,9,0,1.7326"
08.05.2020,"65926,GameA,10,0,1.882516"
08.05.2020,"65926,GameA,11,3,1.266205"
08.05.2020,"65926,GameA,12,3,2.032635"
08.05.2020,"65926,GameA,13,2,1.999675"
08.05.2020,"65926,GameA,14,2,1.466295"
08.05.2020,"65926,GameA,15,3,2.415655"
08.05.2020,"65926,GameA,16,0,1.58258"
08.05.2020,"65926,GameA,17,2,1.499235"
08.05.2020,"65926,GameA,18,1,1.299505"
08.05.2020,"65926,GameA,19,3,1.366195"
08.05.2020,"65926,GameA,20,0,1.38278"
08.05.2020,"65926,GameA,21,3,1.449445"
08.05.2020,"65926,GameA,22,3,2.248905"
08.05.2020,"65926,GameA,23,0,3.398981"
08.05.2020,"65926,GameA,24,3,2.98227"
08.05.2020,"65926,GameA,25,2,1.732805"
08.05.2020,"65926,GameA,26,3,1.71632"
08.05.2020,"65926,GameA,27,1,1.432445"
08.05.2020,"65926,GameA,28,2,1.982515"
08.05.2020,"65926,GameA,29,0,1.599595"
08.05.2020,"65926,GameA,30,0,3.265525"
08.05.2020,"65926,GameA,31,3,1.58275"
08.05.2020,"65926,GameA,32,0,2.499034"
08.05.2020,"65926,GameA,33,1,1.56558"
08.05.2020,"65926,GameA,34,3,1.64935"
08.05.2020,"65926,GameA,35,1,2.282415"
08.05.2020,"65926,GameA,38,1,1.19929"
08.05.2020,"65926,GameA,39,2,1.166265"
08.05.2020,"65926,GameA,44,3,2.18258"
08.05.2020,"65926,GameA,45,1,1.2499"
08.05.2020,"65926,GameA,46,0,1.349645"
08.05.2020,"65926,GameB,0,1,2.182455"
08.05.2020,"65926,GameB,1,1,1.849255"
08.05.2020,"65926,GameB,2,1,1.499215"
08.05.2020,"65926,GameB,3,0,1.46587"
08.05.2020,"65926,GameB,4,0,4.315003"
08.05.2020,"65926,GameB,5,0,1.33275"
08.05.2020,"65926,GameB,6,0,1.582385"
08.05.2020,"65926,GameB,7,1,1.683119"
08.05.2020,"65926,GameB,8,0,1.63275"
08.05.2020,"65926,GameB,9,0,0.932795"
08.05.2020,"65926,GameB,10,1,0.849645"
08.05.2020,"65926,GameB,11,0,0.99946"
08.05.2020,"65926,GameB,12,0,1.38322"
08.05.2020,"65926,GameB,13,1,1.99951"
08.05.2020,"65926,GameB,14,0,1.432745"
08.05.2020,"65926,GameB,15,1,1.04964"
