,category,value,mean correct,median correct,percent,number
0,gender,F,121.2,122.0,51,40
1,gender,M,125.65789473684211,132.0,49,38
2,age,<18,125.0,125.0,1,1
3,age,18-24,121.26666666666667,128.0,57,45
4,age,25-34,125.04761904761905,127.0,27,21
5,age,35-54,114.0,117.0,9,7
6,age,55-64,115.33333333333333,106.0,4,3
7,age,65-74,113.0,113.0,3,2
8,age,75+,,,0,0
9,education,no high school,125.0,125.0,1,1
10,education,high school,119.14285714285714,113.0,9,7
11,education,BSc,120.48571428571428,122.0,44,35
12,education,MSc,124.8,128.0,44,35
13,education,PhD,134.0,134.0,2,2
14,depression level,minimal,125.53846153846153,133.0,48,39
15,depression level,moderated,118.76666666666667,119.0,37,30
16,depression level,moderately severe,112.0,122.0,12,10
17,depression level,severe,121.33333333333333,118.0,4,3
18,all,all,121.2560975609756,124.5,100,82
